method,collision,off_road,rss_lon,rss_lat,jsd_acc,ade,fde,dissim,fdd
BC,0.043841501497077114,0.13366434946678482,43.75173456680306,251.08005692937203,0.14555416223277826,5.511610989310372,13.835482126703598,2.1192060749461885,0.0
STRIVE,0.1301179432337869,0.2700216283234387,79.3212061910692,290.2063689734923,0.1854159379503442,7.0974759488446475,19.046939549744284,2.655419481733666,0.0572148653839326
CTG,0.02329367184521785,0.08459966560258554,39.82236842105263,231.09064327485382,0.12791649725086773,7.644665224642688,18.827588071991226,2.5008490833118846,4.289594862779961
Ours,0.013695787264001991,0.09243817340791856,35.91131471268458,209.7918519836328,0.14614682452728495,6.764962385438361,16.906536054620474,2.304317823226675,1.3808364048539912
