method,collision,off_road,rss_lon,rss_lat,jsd_acc,ade,fde,dissim,fdd
BC,0.741065487217924,0.7353890383629225,0.8193863290807232,0.4865578195172672,0.6932550166166901,1.0,1.0,1.0,0.0
STRIVE,0.0,0.0,0.0,0.0,0.0,0.25652853393706243,0.0,0.0,0.013338058071725056
CTG,0.9175596388740059,1.0,0.9099040892485182,0.7351374840203684,1.0,0.0,0.04209023694279265,0.2882628380141263,1.0
Ours,1.0,0.9577261091927193,1.0,1.0,0.6829477460189765,0.41241466092739804,0.41071111617658884,0.6547797090909859,0.32190368765014593
